SAMPID  ,   SMATSSCR  ,  SMCENTER  ,  SMPTHNTS  ,  SMRIN
GTEX-NL4W-0011-R8a-SM-2I3G4  ,   D1,  ,  A1  ,  6.5  ,  Brain
GTEX-NL4W-0011-R9a-SM-2AXVA  ,   D1,  ,  A1  ,  6  ,  Brain
GTEX-NL4W-0011-R9a-SM-2I3G1  ,   D1,  ,  A1  ,  6  ,  Brain
GTEX-NPJ7-0006-SM-3GACR  ,   D1  ,  5.7  ,  Blood  ,  Whole
GTEX-NPJ7-0009-SM-2BWYS  ,   D1  ,  Blood  ,  Whole  ,  Blood
GTEX-NPJ7-0009-SM-2XJZQ  ,   D1  ,  Blood  ,  Whole  ,  Blood
GTEX-NPJ7-0011-R10A-SM-2I3E5  ,   D1,  ,  A1  ,  7.3  ,  Brain
GTEX-NPJ7-0011-R10A-SM-2IZHU  ,   D1,  ,  A1  ,  7.3  ,  Brain
GTEX-NPJ7-0011-R11A-SM-2I3E8  ,   D1,  ,  A1  ,  7.2  ,  Brain
GTEX-NPJ7-0011-R11A-SM-2IZHX  ,   D1,  ,  A1  ,  7.2  ,  Brain
GTEX-NPJ7-0011-R1a-SM-3GACT  ,   D1,  ,  A1  ,  6.7  ,  Brain
GTEX-NPJ7-0011-R2a-SM-2AXWC  ,   D1,  ,  A1  ,  7  ,  Brain
GTEX-NPJ7-0011-R2a-SM-2I3GF  ,   D1,  ,  A1  ,  7  ,  Brain
GTEX-NPJ7-0011-R4a-SM-2AXW1  ,   D1,  ,  A1  ,  6  ,  Brain
GTEX-NPJ7-0011-R4a-SM-2I3GJ  ,   D1,  ,  A1  ,  6  ,  Brain
GTEX-NPJ7-0011-R5a-SM-2AXVT  ,   D1,  ,  A1  ,  5.9  ,  Brain
GTEX-NPJ7-0011-R5a-SM-2I5GY  ,   D1,  ,  A1  ,  5.9  ,  Brain
GTEX-NPJ7-0011-R5a-SM-33HBK  ,   D1,  ,  A1  ,  5.9  ,  Brain
GTEX-NPJ7-0011-R6a-SM-2AXVN  ,   D1,  ,  A1  ,  7.7  ,  Brain
GTEX-NPJ7-0011-R6a-SM-2I3G7  ,   D1,  ,  A1  ,  7.7  ,  Brain
GTEX-NPJ7-0011-R8a-SM-2AXVB  ,   D1,  ,  A1  ,  7.1  ,  Brain
GTEX-NPJ7-0011-R8a-SM-2I3G2  ,   D1,  ,  A1  ,  7.1  ,  Brain
GTEX-NPJ7-0011-R9a-SM-2AXV3  ,   D1,  ,  A1  ,  7  ,  Brain
GTEX-NPJ7-0011-R9a-SM-2TC5R  ,   D1,  ,  A1  ,  7  ,  Brain
